"X2-1","X2-2","X2-3","X4-1","X4-2","X4-3","X4-4","X4-5","X4-6","X4-7","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","Y"
0,0,1,1,0,0,0,0,0,0,0.138088348,151,86,110,9,9,1.25,169,175,57,0.7,356.3841555
0,0,1,1,0,0,0,0,0,0,0.15187143,151,86,110,9,9,1.25,169,175,57,0.7,54.04165228
0,0,1,1,0,0,0,0,0,0,0.155726228,151,86,110,9,9,1.25,169,175,57,0.7,57.07029513
0,0,1,1,0,0,0,0,0,0,0.156780243,151,86,110,9,9,1.25,169,175,57,0.7,62.6792981
0,0,1,1,0,0,0,0,0,0,0.157554697,151,86,110,9,9,1.25,169,175,261,0.7,56.570108
0,0,1,1,0,0,0,0,0,0,0.157554697,151,86,110,9,9,1.25,169,175,57,0.7,56.570108
0,0,1,1,0,0,0,0,0,0,0.158486901,151,86,110,9,9,1.25,169,175,57,0.7,61.06268799
0,0,1,1,0,0,0,0,0,0,0.161091762,151,86,110,9,9,1.25,169,175,57,0.7,61.32302678
0,0,1,1,0,0,0,0,0,0,0.163448526,151,86,110,9,9,1.25,169,175,261,0.7,56.30544787
0,0,1,1,0,0,0,0,0,0,0.163448526,151,86,110,9,9,1.25,169,175,57,0.7,56.30544787
0,0,1,1,0,0,0,0,0,0,0.877175311,151,86,110,9,9,1.25,169,175,261,0.7,63.21175015
0,0,1,1,0,0,0,0,0,0,1.106808437,151,86,110,9,9,1.25,169,175,57,0.7,43.98973308
0,0,1,1,0,0,0,0,0,0,1.317342777,151,86,110,9,9,1.25,169,175,261,0.7,49.7534774
0,0,1,1,0,0,0,0,0,0,1.317342777,151,86,110,9,9,1.25,169,175,57,0.7,49.7534774
0,0,1,1,0,0,0,0,0,0,1.319229691,151,86,110,9,9,1.25,169,175,57,0.7,65.45961154
0,0,1,1,0,0,0,0,0,0,1.34999141,151,86,110,9,9,1.25,169,175,261,0.7,43.66862708
0,0,1,1,0,0,0,0,0,0,1.34999141,151,86,110,9,9,1.25,169,175,57,0.7,43.66862708
0,0,1,1,0,0,0,0,0,0,1.361765318,151,86,110,9,9,1.25,169,175,261,0.7,48.86529697
0,0,1,1,0,0,0,0,0,0,1.361765318,151,86,110,9,9,1.25,169,175,57,0.7,48.86529697
0,0,1,1,0,0,0,0,0,0,1.372002596,151,86,110,9,9,1.25,169,175,261,0.7,64.22643654
0,0,1,1,0,0,0,0,0,0,1.372002596,151,86,110,9,9,1.25,169,175,57,0.7,64.22643654
0,0,1,1,0,0,0,0,0,0,1.37460022,151,86,110,9,9,1.25,169,175,261,0.7,63.83321418
0,0,1,1,0,0,0,0,0,0,1.37460022,151,86,110,9,9,1.25,169,175,57,0.7,63.83321418
0,0,1,1,0,0,0,0,0,0,1.37792527,151,86,110,9,9,1.25,169,175,261,0.7,67.92584557
0,0,1,1,0,0,0,0,0,0,1.37792527,151,86,110,9,9,1.25,169,175,57,0.7,67.92584557
0,0,1,1,0,0,0,0,0,0,1.378163018,151,86,110,9,9,1.25,169,175,261,0.7,63.25503765
0,0,1,1,0,0,0,0,0,0,1.378163018,151,86,110,9,9,1.25,169,175,57,0.7,63.25503765
0,0,1,1,0,0,0,0,0,0,1.379850395,151,86,110,9,9,1.25,169,175,261,0.7,350.9166291
0,0,1,1,0,0,0,0,0,0,1.382483726,151,86,110,9,9,1.25,169,175,261,0.7,62.45388994
0,0,1,1,0,0,0,0,0,0,1.3846381,151,86,110,9,9,1.25,169,175,261,0.7,68.9243909
0,0,1,1,0,0,0,0,0,0,1.387219781,151,86,110,9,9,1.25,169,175,261,0.7,67.21039532
0,0,1,1,0,0,0,0,0,0,1.387219781,151,86,110,9,9,1.25,169,175,57,0.7,67.21039532
0,0,1,1,0,0,0,0,0,0,1.389582592,151,86,110,9,9,1.25,169,175,261,0.7,53.72101258
0,0,1,1,0,0,0,0,0,0,1.389582592,151,86,110,9,9,1.25,169,175,57,0.7,53.72101258
0,0,1,1,0,0,0,0,0,0,1.39216433,151,86,110,9,9,1.25,169,175,261,0.7,45.38389135
0,0,1,1,0,0,0,0,0,0,1.392303136,151,86,110,9,9,1.25,169,175,261,0.7,64.27545759
0,0,1,1,0,0,0,0,0,0,1.392303136,151,86,110,9,9,1.25,169,175,57,0.7,64.27545759
